Geo Point;Geo Shape;COUSUBNS;GEOID;NAMELSAD;CLASSFP;FUNCSTAT;ALAND;AWATER;INTPTLAT;INTPTLON;FID_County;GEOID_1;Census Tracts;ALAND_1;AWATER_1;INTPTLAT_1;INTPTLON_1;FID_Census;SHAPE_Leng;SHAPE_Area;TRACTNUM;State_Code;County_Cod;Tract_Code;Total_Population;Tract Minority %;Number of Families;Number of Households;Non-Hisp White Populations;Tract Minority Population;American Indian Population;Asian/Hawaiian/Pacific Islander Population;Black Population;Hispanic Population;Other Population/Two or More Races;Tract Income Level;2015 MSA/MD Statewide non-MSA/MD Median Family Income;2020 MSA/MD Statewide non-MSA/MD Median Family Income;% below Poverty Line;Tract Median Family Income %;2015 Tract Median Family Income;2020 Est. Tract Median Family Income;2015 Tract Median Household Income;Total_Housing_units;1 to 4 Family Units;Median_House_Age (years);Iniside_Principal_City?;Owner_Occupied_Units;Vacant_Units;Owner_Occupied 1 to 4 Family Units;Renter_Occupied_Units
40.7181458595, -74.0454756907;"{""coordinates"": [[[-74.041335, 40.719002], [-74.041358, 40.718796], [-74.041864, 40.718469], [-74.042014, 40.718372], [-74.042187, 40.718236], [-74.042239, 40.717978], [-74.042361, 40.717341], [-74.042501, 40.716602], [-74.042663, 40.715827], [-74.044006, 40.71599], [-74.0449, 40.716117], [-74.045645, 40.716236], [-74.045661, 40.716379], [-74.046928, 40.716829], [-74.048512, 40.717326], [-74.050033, 40.717786], [-74.051559, 40.718247], [-74.051171, 40.718955], [-74.049671, 40.718475], [-74.048148, 40.717989], [-74.047808, 40.718617], [-74.047438, 40.719286], [-74.047053, 40.719984], [-74.046709, 40.720631], [-74.046689, 40.720669], [-74.045124, 40.720182], [-74.042967, 40.71951], [-74.04182, 40.719153], [-74.041335, 40.719002]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017006400;Census Tract 64;218104.0;0.0;+40.7181459;-74.0454757;888;0.02564602221;2.324549e-05;64;34.0;017;64.0;3001.0;54.25;612.0;1458.0;1373.0;1628.0;0.0;554.0;231.0;775.0;68.0;Upper;67560.0;81800.0;3.93;148.94;100625.0;121833.0;92292.0;1683.0;913.0;76.0;Yes;394.0;225.0;243.0;1064.0
40.7157935294, -74.0393020838;"{""coordinates"": [[[-74.035572, 40.717337], [-74.035587, 40.717273], [-74.035701, 40.716671], [-74.035869, 40.715827], [-74.036014, 40.7151], [-74.036148, 40.714429], [-74.036307, 40.713631], [-74.036449, 40.712916], [-74.038142, 40.713108], [-74.039834, 40.713308], [-74.041434, 40.713474], [-74.041451, 40.713546], [-74.041467, 40.713474], [-74.041599, 40.713558], [-74.041685, 40.713663], [-74.041744, 40.713758], [-74.042051, 40.714137], [-74.042196, 40.714232], [-74.042413, 40.714327], [-74.042688, 40.714384], [-74.042957, 40.714412], [-74.042933, 40.714525], [-74.042865, 40.714854], [-74.042812, 40.715108], [-74.042796, 40.715186], [-74.042785, 40.715235], [-74.042663, 40.715827], [-74.042501, 40.716602], [-74.042361, 40.717341], [-74.042239, 40.717978], [-74.042187, 40.718236], [-74.042014, 40.718372], [-74.041864, 40.718469], [-74.041358, 40.718796], [-74.041335, 40.719002], [-74.040178, 40.718638], [-74.0398, 40.71852], [-74.038836, 40.718218], [-74.037183, 40.7177], [-74.037117, 40.717682], [-74.036685, 40.717565], [-74.035877, 40.717388], [-74.035572, 40.717337]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017007500;Census Tract 75;302077.0;0.0;+40.7157935;-74.0393021;893;0.02263750157;3.219402e-05;75;34.0;017;75.0;5738.0;63.52;1310.0;2827.0;2093.0;3645.0;0.0;2384.0;352.0;823.0;86.0;Upper;67560.0;81800.0;10.25;162.29;109649.0;132753.0;91862.0;3066.0;621.0;46.0;Yes;483.0;239.0;137.0;2344.0
40.7288142386, -74.0577026679;"{""coordinates"": [[[-74.053966, 40.727419], [-74.05341, 40.726868], [-74.053278, 40.726737], [-74.05317, 40.726638], [-74.053154, 40.726623], [-74.053312, 40.726188], [-74.053395, 40.725974], [-74.053869, 40.724574], [-74.054229, 40.723595], [-74.054307, 40.723363], [-74.054362, 40.723413], [-74.054395, 40.723443], [-74.054443, 40.723493], [-74.054562, 40.723618], [-74.054711, 40.723803], [-74.054841, 40.723996], [-74.055389, 40.724775], [-74.056636, 40.726612], [-74.056983, 40.727032], [-74.057015, 40.727071], [-74.057397, 40.727462], [-74.05749, 40.727551], [-74.058301, 40.728254], [-74.058623, 40.72853], [-74.059014, 40.72896], [-74.059272, 40.729278], [-74.059389, 40.729418], [-74.059494, 40.729543], [-74.059687, 40.729426], [-74.059889, 40.729298], [-74.060011, 40.729214], [-74.060125, 40.729084], [-74.060673, 40.728375], [-74.061146, 40.727764], [-74.061211, 40.727679], [-74.06152, 40.727281], [-74.062034, 40.726603], [-74.063579, 40.727702], [-74.06316, 40.728089], [-74.062707, 40.728556], [-74.062673, 40.728597], [-74.062273, 40.729075], [-74.06218, 40.729185], [-74.061688, 40.729865], [-74.061257, 40.730423], [-74.061205, 40.73049], [-74.061172, 40.730533], [-74.061092, 40.730622], [-74.060902, 40.730834], [-74.060671, 40.731092], [-74.060454, 40.731281], [-74.060084, 40.731772], [-74.060036, 40.731841], [-74.059852, 40.732068], [-74.059701, 40.732345], [-74.059602, 40.7326], [-74.059449, 40.732498], [-74.058524, 40.733], [-74.058088, 40.733237], [-74.05802, 40.733275], [-74.057824, 40.733026], [-74.057402, 40.732489], [-74.056624, 40.731539], [-74.056554, 40.731456], [-74.055771, 40.730542], [-74.055588, 40.730322], [-74.055316, 40.729978], [-74.055278, 40.729909], [-74.055241, 40.729846], [-74.054909, 40.728837], [-74.054815, 40.728549], [-74.054704, 40.728213], [-74.054625, 40.728072], [-74.053966, 40.727419]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017007100;Census Tract 71;340042.0;0.0;+40.7288142;-74.0577026;896;0.03389470826;3.624656e-05;71;34.0;017;71.0;3726.0;74.56;911.0;1458.0;948.0;2778.0;0.0;1280.0;417.0;880.0;201.0;Middle;67560.0;81800.0;12.37;96.75;65365.0;79142.0;55514.0;1558.0;727.0;76.0;Yes;304.0;100.0;259.0;1154.0
40.6944158194, -74.1000392317;"{""coordinates"": [[[-74.097265, 40.697358], [-74.097738, 40.696901], [-74.097792, 40.696849], [-74.097808, 40.696833], [-74.097846, 40.696797], [-74.098362, 40.696291], [-74.095942, 40.693365], [-74.096019, 40.693279], [-74.094956, 40.692088], [-74.093764, 40.690752], [-74.094006, 40.690623], [-74.094042, 40.690607], [-74.094495, 40.69041], [-74.094802, 40.690276], [-74.09558, 40.689942], [-74.096563, 40.68951], [-74.096985, 40.689047], [-74.097219, 40.688792], [-74.097491, 40.688465], [-74.097635, 40.688293], [-74.097688, 40.688229], [-74.097729, 40.688179], [-74.097799, 40.688095], [-74.097875, 40.688004], [-74.098014, 40.687837], [-74.098114, 40.687717], [-74.098378, 40.6874], [-74.09867, 40.687078], [-74.098735, 40.687002], [-74.098779, 40.686951], [-74.098811, 40.686914], [-74.098859, 40.686858], [-74.098908, 40.686801], [-74.099794, 40.685772], [-74.099821, 40.685905], [-74.099915, 40.686076], [-74.100257, 40.686723], [-74.100682, 40.687558], [-74.100937, 40.688058], [-74.101002, 40.688219], [-74.101077, 40.6884], [-74.101348, 40.688957], [-74.101448, 40.689163], [-74.101479, 40.689227], [-74.101571, 40.689418], [-74.101639, 40.689554], [-74.101729, 40.689708], [-74.101822, 40.68987], [-74.101886, 40.68998], [-74.101938, 40.690069], [-74.101956, 40.690113], [-74.101979, 40.69018], [-74.101985, 40.690199], [-74.101988, 40.690211], [-74.102008, 40.690292], [-74.102023, 40.690373], [-74.102025, 40.690391], [-74.102027, 40.690404], [-74.102028, 40.690415], [-74.102035, 40.690479], [-74.102037, 40.690532], [-74.102037, 40.690585], [-74.102037, 40.690597], [-74.102033, 40.690659], [-74.102032, 40.690669], [-74.102029, 40.690701], [-74.102028, 40.690713], [-74.102018, 40.690773], [-74.101996, 40.690874], [-74.101914, 40.690958], [-74.101896, 40.690976], [-74.101567, 40.691312], [-74.101505, 40.691383], [-74.101394, 40.691513], [-74.101322, 40.691595], [-74.101231, 40.69171], [-74.10114, 40.691904], [-74.101045, 40.692135], [-74.10105, 40.692237], [-74.101068, 40.692328], [-74.10109, 40.692407], [-74.101134, 40.692524], [-74.101188, 40.692637], [-74.101449, 40.693059], [-74.101536, 40.693191], [-74.101583, 40.693278], [-74.101986, 40.693878], [-74.102122, 40.694085], [-74.102312, 40.694373], [-74.102573, 40.694767], [-74.102765, 40.695056], [-74.102797, 40.69513], [-74.102827, 40.695231], [-74.102839, 40.695283], [-74.102849, 40.69536], [-74.102851, 40.695424], [-74.103584, 40.695779], [-74.105187, 40.696558], [-74.105681, 40.696797], [-74.106311, 40.697102], [-74.106488, 40.697188], [-74.10548, 40.6982], [-74.104486, 40.6993], [-74.104242, 40.699581], [-74.103535, 40.700415], [-74.102592, 40.701532], [-74.102316, 40.701857], [-74.102005, 40.70224], [-74.101807, 40.702309], [-74.101728, 40.702323], [-74.101379, 40.702086], [-74.101462, 40.701946], [-74.101386, 40.701752], [-74.100338, 40.701277], [-74.100488, 40.70083], [-74.100287, 40.700778], [-74.09999, 40.70064], [-74.099978, 40.700634], [-74.099207, 40.699668], [-74.098497, 40.698852], [-74.097581, 40.697734], [-74.097265, 40.697358]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017006100;Census Tract 61;775375.0;0.0;+40.6944156;-74.1000391;725;0.04616799794;8.260938e-05;61;34.0;017;61.0;6510.0;79.14;1582.0;2216.0;1358.0;5152.0;0.0;1508.0;1622.0;1883.0;139.0;Moderate;67560.0;81800.0;25.41;76.22;51500.0;62348.0;49712.0;2564.0;2160.0;49.0;Yes;952.0;348.0;939.0;1264.0
40.7461585721, -74.0529473047;"{""coordinates"": [[[-74.048023, 40.747898], [-74.048386, 40.747369], [-74.048469, 40.747248], [-74.048913, 40.746602], [-74.049347, 40.74597], [-74.049478, 40.74578], [-74.049772, 40.74536], [-74.05025, 40.744678], [-74.050838, 40.743839], [-74.051216, 40.743299], [-74.051564, 40.742802], [-74.053943, 40.743768], [-74.055715, 40.74449], [-74.057822, 40.74535], [-74.057556, 40.745712], [-74.057375, 40.745986], [-74.056748, 40.746928], [-74.056554, 40.74722], [-74.056165, 40.747812], [-74.05606, 40.747969], [-74.055738, 40.748451], [-74.055344, 40.74904], [-74.052996, 40.748193], [-74.052541, 40.748029], [-74.051308, 40.747544], [-74.050871, 40.7482], [-74.050437, 40.748854], [-74.048023, 40.747898]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017000600;Census Tract 6;321471.0;0.0;+40.7461586;-74.0529473;837;0.02588193;3.427626e-05;6;34.0;017;6.0;5415.0;76.69;1286.0;2095.0;1262.0;4153.0;29.0;814.0;374.0;2865.0;71.0;Moderate;67560.0;81800.0;15.51;78.89;53304.0;64532.0;53186.0;2353.0;1196.0;76.0;Yes;704.0;258.0;542.0;1391.0
40.7380920973, -74.0469768013;"{""coordinates"": [[[-74.043593, 40.740068], [-74.043674, 40.740008], [-74.043781, 40.739849], [-74.043782, 40.739686], [-74.043783, 40.739459], [-74.043752, 40.738857], [-74.0437, 40.738788], [-74.043629, 40.738694], [-74.043558, 40.738599], [-74.043499, 40.738557], [-74.043419, 40.738501], [-74.043375, 40.738477], [-74.043558, 40.738171], [-74.043709, 40.737912], [-74.043763, 40.737796], [-74.04378, 40.737754], [-74.043801, 40.737718], [-74.043872, 40.737597], [-74.042885, 40.73673], [-74.042809, 40.736663], [-74.042741, 40.736604], [-74.042854, 40.736401], [-74.042825, 40.736266], [-74.04289, 40.736257], [-74.042931, 40.736251], [-74.043451, 40.736182], [-74.043788, 40.736137], [-74.04391, 40.73612], [-74.044418, 40.73603], [-74.045495, 40.735777], [-74.04576, 40.735709], [-74.045871, 40.735681], [-74.046238, 40.735587], [-74.0472, 40.735341], [-74.048254, 40.735071], [-74.048534, 40.734618], [-74.048837, 40.734719], [-74.049039, 40.734819], [-74.049948, 40.735222], [-74.049857, 40.735364], [-74.049612, 40.735747], [-74.049404, 40.736074], [-74.051145, 40.736941], [-74.051063, 40.73703], [-74.050924, 40.737212], [-74.050851, 40.737398], [-74.050811, 40.737745], [-74.050732, 40.738182], [-74.050496, 40.73848], [-74.049949, 40.739047], [-74.049394, 40.739599], [-74.048826, 40.740189], [-74.048522, 40.740505], [-74.047668, 40.741847], [-74.046899, 40.741563], [-74.046067, 40.741255], [-74.04523, 40.740945], [-74.044809, 40.740806], [-74.044547, 40.740927], [-74.044435, 40.740894], [-74.045212, 40.739688], [-74.04521, 40.739607], [-74.0451, 40.739601], [-74.044995, 40.739796], [-74.04442, 40.74022], [-74.044328, 40.740322], [-74.044247, 40.740393], [-74.044195, 40.740407], [-74.04404, 40.740395], [-74.043982, 40.740385], [-74.043731, 40.740292], [-74.043702, 40.740279], [-74.043593, 40.740068]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017001300;Census Tract 13;333335.0;0.0;+40.7380921;-74.0469768;851;0.02850991686;3.553682e-05;13;34.0;017;13.0;2900.0;77.07;626.0;1042.0;665.0;2235.0;0.0;487.0;209.0;1488.0;51.0;Middle;67560.0;81800.0;27.65;80.75;54559.0;66054.0;54706.0;1193.0;644.0;73.0;Yes;318.0;151.0;225.0;724.0
40.7265797088, -74.0452694788;"{""coordinates"": [[[-74.043643, 40.726055], [-74.043737, 40.725336], [-74.043758, 40.725176], [-74.043839, 40.724629], [-74.043945, 40.723938], [-74.045626, 40.724107], [-74.047346, 40.724253], [-74.047244, 40.724928], [-74.047165, 40.725444], [-74.047135, 40.725636], [-74.047023, 40.726347], [-74.046912, 40.727052], [-74.046796, 40.727793], [-74.04668, 40.728526], [-74.046573, 40.72921], [-74.044902, 40.729071], [-74.043209, 40.728929], [-74.043318, 40.728209], [-74.043429, 40.727472], [-74.043535, 40.72677], [-74.043643, 40.726055]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017002400;Census Tract 24;159733.0;0.0;+40.7265797;-74.0452695;858;0.01685342072;1.702596e-05;24;34.0;017;24.0;2707.0;38.53;689.0;1255.0;1664.0;1043.0;0.0;317.0;220.0;385.0;121.0;Upper;67560.0;81800.0;3.88;218.23;147438.0;178512.0;108250.0;1359.0;792.0;76.0;Yes;601.0;104.0;336.0;654.0
40.7198114469, -74.0489344785;"{""coordinates"": [[[-74.046689, 40.720669], [-74.046709, 40.720631], [-74.047053, 40.719984], [-74.047438, 40.719286], [-74.047808, 40.718617], [-74.048148, 40.717989], [-74.049671, 40.718475], [-74.051171, 40.718955], [-74.050839, 40.719561], [-74.050488, 40.720234], [-74.050118, 40.720941], [-74.049788, 40.721572], [-74.04976, 40.721626], [-74.048197, 40.721139], [-74.046689, 40.720669]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017003500;Census Tract 35;89372.0;0.0;+40.7198114;-74.0489345;864;0.01246261995;9.52538e-06;35;34.0;017;35.0;1952.0;57.53;485.0;888.0;829.0;1123.0;0.0;191.0;211.0;672.0;49.0;Upper;67560.0;81800.0;17.73;124.7;84250.0;102005.0;75938.0;1003.0;470.0;76.0;Yes;274.0;115.0;162.0;614.0
40.7178344087, -74.0795516105;"{""coordinates"": [[[-74.075402, 40.718434], [-74.074956, 40.718249], [-74.074106, 40.717898], [-74.074829, 40.716939], [-74.075661, 40.715687], [-74.076701, 40.716226], [-74.077838, 40.716815], [-74.07813, 40.716611], [-74.078186, 40.716561], [-74.078442, 40.716326], [-74.079006, 40.715795], [-74.079645, 40.715191], [-74.079886, 40.714968], [-74.081742, 40.715958], [-74.082676, 40.716456], [-74.083874, 40.717095], [-74.084561, 40.717461], [-74.084184, 40.717853], [-74.083703, 40.718315], [-74.083633, 40.718382], [-74.083498, 40.718512], [-74.082966, 40.718996], [-74.082438, 40.719574], [-74.082351, 40.719669], [-74.081949, 40.72014], [-74.081798, 40.720318], [-74.081357, 40.720872], [-74.077781, 40.719399], [-74.076284, 40.718792], [-74.076122, 40.718726], [-74.075402, 40.718434]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017004200;Census Tract 42;297680.0;0.0;+40.7178344;-74.0795516;871;0.02573933072;3.172583e-05;42;34.0;017;42.0;5110.0;90.0;1186.0;1695.0;511.0;4599.0;0.0;651.0;2249.0;1597.0;102.0;Moderate;67560.0;81800.0;24.58;73.3;49524.0;59959.0;37344.0;1821.0;1027.0;56.0;Yes;398.0;126.0;377.0;1297.0
40.7000593916, -74.0826250601;"{""coordinates"": [[[-74.080574, 40.70347], [-74.077932, 40.701361], [-74.077733, 40.701476], [-74.076899, 40.700791], [-74.076769, 40.700689], [-74.07656, 40.700529], [-74.076701, 40.700448], [-74.076912, 40.70031], [-74.077079, 40.700184], [-74.077135, 40.700136], [-74.077255, 40.700035], [-74.077664, 40.699713], [-74.078329, 40.69919], [-74.078455, 40.699091], [-74.078788, 40.698842], [-74.080606, 40.697479], [-74.080855, 40.697293], [-74.081341, 40.696926], [-74.081706, 40.696649], [-74.083881, 40.695009], [-74.084632, 40.695558], [-74.08542, 40.696169], [-74.084087, 40.697175], [-74.083703, 40.697467], [-74.08526, 40.699161], [-74.084909, 40.6994], [-74.087219, 40.70094], [-74.08741, 40.701064], [-74.089172, 40.702208], [-74.088576, 40.702742], [-74.087974, 40.703285], [-74.086572, 40.702382], [-74.085945, 40.702958], [-74.085258, 40.70359], [-74.083881, 40.702683], [-74.083286, 40.702291], [-74.082364, 40.701684], [-74.082348, 40.701667], [-74.081788, 40.70222], [-74.081704, 40.702303], [-74.081205, 40.702816], [-74.080574, 40.70347]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017005801;Census Tract 58.01;448252.0;0.0;+40.7000594;-74.0826250;878;0.03728118998;4.776106e-05;58.01;34.0;017;58.01;5338.0;97.6;1152.0;1941.0;128.0;5210.0;0.0;18.0;3662.0;1418.0;112.0;Moderate;67560.0;81800.0;28.85;56.88;38429.0;46528.0;30820.0;2137.0;1654.0;61.0;Yes;589.0;196.0;589.0;1352.0
40.6909186015, -74.0921752455;"{""coordinates"": [[[-74.08542, 40.696169], [-74.084632, 40.695558], [-74.083881, 40.695009], [-74.086839, 40.692669], [-74.087132, 40.692439], [-74.088389, 40.691465], [-74.089146, 40.69088], [-74.091598, 40.688982], [-74.092907, 40.687968], [-74.09338, 40.687597], [-74.094232, 40.686927], [-74.094286, 40.686885], [-74.09449, 40.686725], [-74.09453, 40.686685], [-74.094602, 40.686623], [-74.095111, 40.686186], [-74.095343, 40.685969], [-74.09539, 40.685925], [-74.09545, 40.685869], [-74.095531, 40.685793], [-74.09556, 40.685764], [-74.095576, 40.685747], [-74.09636, 40.684922], [-74.09676, 40.684435], [-74.097229, 40.683866], [-74.098596, 40.682276], [-74.098685, 40.682173], [-74.098789, 40.682453], [-74.098834, 40.682574], [-74.09885, 40.682617], [-74.098896, 40.68274], [-74.098968, 40.682934], [-74.099029, 40.683098], [-74.099067, 40.683199], [-74.099297, 40.683817], [-74.099352, 40.683972], [-74.09946, 40.684407], [-74.09976, 40.685623], [-74.099794, 40.685772], [-74.098908, 40.686801], [-74.098859, 40.686858], [-74.098811, 40.686914], [-74.098779, 40.686951], [-74.098735, 40.687002], [-74.09867, 40.687078], [-74.098378, 40.6874], [-74.098114, 40.687717], [-74.098014, 40.687837], [-74.097875, 40.688004], [-74.097799, 40.688095], [-74.097729, 40.688179], [-74.097688, 40.688229], [-74.097635, 40.688293], [-74.097491, 40.688465], [-74.097219, 40.688792], [-74.096985, 40.689047], [-74.096563, 40.68951], [-74.09558, 40.689942], [-74.094802, 40.690276], [-74.094495, 40.69041], [-74.094042, 40.690607], [-74.094006, 40.690623], [-74.093764, 40.690752], [-74.094956, 40.692088], [-74.094211, 40.692713], [-74.093948, 40.692919], [-74.093603, 40.693202], [-74.093132, 40.693569], [-74.093013, 40.693665], [-74.092441, 40.694163], [-74.091381, 40.695051], [-74.090683, 40.695658], [-74.089827, 40.696047], [-74.088834, 40.696724], [-74.088133, 40.697202], [-74.087399, 40.697703], [-74.08542, 40.696169]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017006300;Census Tract 63;677032.0;0.0;+40.6909185;-74.0921756;885;0.04710774153;7.212786e-05;63;34.0;017;63.0;4276.0;90.95;965.0;1691.0;387.0;3889.0;47.0;413.0;1497.0;1757.0;175.0;Moderate;67560.0;81800.0;21.42;78.26;52878.0;64017.0;32413.0;1888.0;1230.0;61.0;Yes;607.0;197.0;607.0;1084.0
40.7224178544, -74.0431913906;"{""coordinates"": [[[-74.042007, 40.725913], [-74.042105, 40.725193], [-74.040457, 40.725056], [-74.0405, 40.724788], [-74.040516, 40.724691], [-74.040592, 40.72423], [-74.040693, 40.723615], [-74.040762, 40.723199], [-74.040808, 40.722923], [-74.040922, 40.722245], [-74.041022, 40.721518], [-74.041121, 40.720794], [-74.041218, 40.720084], [-74.041248, 40.719805], [-74.041335, 40.719002], [-74.04182, 40.719153], [-74.042967, 40.71951], [-74.045124, 40.720182], [-74.046689, 40.720669], [-74.046376, 40.721227], [-74.046156, 40.721618], [-74.046058, 40.721937], [-74.045843, 40.722638], [-74.045834, 40.722666], [-74.045737, 40.72336], [-74.045626, 40.724107], [-74.043945, 40.723938], [-74.043839, 40.724629], [-74.043758, 40.725176], [-74.043737, 40.725336], [-74.043643, 40.726055], [-74.042007, 40.725913]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017007000;Census Tract 70;251927.0;0.0;+40.7224178;-74.0431914;891;0.02321743067;2.685149e-05;70;34.0;017;70.0;3758.0;67.67;747.0;1923.0;1215.0;2543.0;0.0;1014.0;176.0;1196.0;157.0;Upper;67560.0;81800.0;6.52;185.63;125417.0;151845.0;84509.0;2182.0;731.0;65.0;Yes;444.0;259.0;246.0;1479.0
